Reference,Category,delta15N-N2O,"Site Preference (SP), defined either as [delta15N_alpha - delta15N_beta] or [15R_alpha/15R_beta - 1], where alpha is the central N atom and beta is the terminal N atom in the assymetric N-N-O molecule",delta18O-N2O,Site description,Surface flux and near-surface data subset
Croteau et al. 2010,Troposphere,6.5,,44.7,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.5,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.8,,45.4,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.9,,44,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.9,,43.9,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44.7,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.7,,43.8,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.9,,43.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.4,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.2,,43.9,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,43.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,43.8,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,45.1,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.8,,44,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.9,,44.2,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.2,,43.7,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.2,,44,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.4,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44.5,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.2,,44.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44.4,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.3,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,44.4,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.1,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.9,,44.4,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.9,,43.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.5,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.7,,44.1,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.9,,44.1,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44.2,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,45.1,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.2,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.4,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.9,,44.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.2,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,44.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.2,,44.4,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,44.2,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44.8,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.8,,43.7,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.5,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.3,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.7,,45.2,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44.9,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,7.5,,45.2,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,7.1,,45.1,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) WB-57 samples from 2007, from 1.9 to 19.1 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.6,,43.8,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,44.5,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44.4,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.2,,44.2,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.8,,44.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,43.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,43.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.3,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,43.9,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.7,,44.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.8,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.3,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.6,,44.4,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44.2,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.2,,44.1,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.7,,44.3,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44.3,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.5,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,44.6,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.3,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.3,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.9,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.1,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.6,,44,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.8,,44,"Tropical Composition, Cloud and Climate Coupling Experiment (TC4) DC-8 samples from 2007, from 0.3 to 11.6 km, samples may include tropical lower stratosphere",n/a
